date,congestion
2011-09-05,0.3167
2011-09-06,0.3418
2011-09-07,0.3349
2011-09-08,0.3434
2011-09-09,0.3471
2011-09-13,0.3451
2011-09-14,0.3504
2011-09-15,0.3364
2011-09-16,0.3577
2011-09-19,0.3385
2011-09-20,0.3631
2011-09-21,0.3414
2011-09-22,0.3503
2011-09-23,0.3686
2011-09-26,0.3885
2011-09-27,0.3657
2011-09-28,0.3534
2011-09-29,0.3259
2011-09-30,0.3544
2011-10-10,0.3893
2011-10-11,0.4018
2011-10-12,0.3849
2011-10-13,0.3386
2011-10-14,0.3475
2011-10-17,0.3587
2011-10-18,0.3715
2011-10-19,0.3741
2011-10-20,0.3449
2011-10-21,0.3556
2011-10-24,0.3741
2011-10-25,0.3507
2011-10-26,0.3448
2011-10-27,0.3119
2011-10-28,0.3351
2011-10-31,0.3093
2011-11-01,0.3111
2011-11-02,0.2993
2011-11-03,0.2866
2011-11-04,0.2899
2011-11-07,0.2865
2011-11-08,0.2995
2011-11-09,0.3029
2011-11-10,0.2924
2011-11-11,0.2979
2011-11-14,0.2641
2011-11-15,0.2687
2011-11-16,0.2813
2011-11-17,0.2853
2011-11-18,0.2785
2011-11-21,0.2939
2011-11-22,0.3124
2011-11-23,0.3094
2011-11-24,0.2923
2011-11-25,0.3153
2011-11-28,0.3099
2011-11-29,0.286
2011-11-30,0.2781
2011-12-01,0.3348
2011-12-02,0.3121
2011-12-05,0.3093
2011-12-06,0.3243
2011-12-07,0.3522
2011-12-08,0.3315
2011-12-09,0.3521
2011-12-12,0.3403
2011-12-13,0.3277
2011-12-14,0.3322
2011-12-15,0.3333
2011-12-16,0.3569
2011-12-19,0.3498
2011-12-20,0.3455
2011-12-21,0.3611
2011-12-22,0.3245
2011-12-23,0.356
2011-12-26,0.3535
2011-12-27,0.3422
2011-12-28,0.3379
2011-12-29,0.3361
2011-12-30,0.332
2012-01-04,0.3403
2012-01-05,0.351
2012-01-06,0.3482
2012-01-09,0.3588
2012-01-10,0.3436
2012-01-11,0.3356
2012-01-12,0.3456
2012-01-13,0.3443
2012-01-16,0.38
2012-01-17,0.3825
2012-01-18,0.3911
2012-01-19,0.4003
2012-01-20,0.4202
2012-01-30,0.3924
2012-01-31,0.3884
2012-02-01,0.374
2012-02-02,0.3813
2012-02-03,0.3325
2012-02-06,0.3094
2012-02-07,0.3223
2012-02-08,0.3617
2012-02-09,0.3201
2012-02-10,0.3327
2012-02-13,0.2999
2012-02-14,0.3054
2012-02-15,0.2938
2012-02-16,0.2773
2012-02-17,0.2986
2012-02-20,0.3108
2012-02-21,0.2969
2012-02-22,0.2841
2012-02-23,0.2987
2012-02-24,0.3146
2012-02-27,0.3036
2012-02-28,0.299
2012-02-29,0.3293
2012-03-01,0.3192
2012-03-02,0.3091
2012-03-05,0.3001
2012-03-06,0.3152
2012-03-07,0.3039
2012-03-08,0.3157
2012-03-09,0.3103
2012-03-12,0.3129
2012-03-13,0.2872
2012-03-14,0.2963
2012-03-15,0.3145
2012-03-16,0.3179
2012-03-19,0.318
2012-03-20,0.3262
2012-03-21,0.3499
2012-03-22,0.3445
2012-03-23,0.3235
2012-03-26,0.3363
2012-03-27,0.3605
2012-03-28,0.3125
2012-03-29,0.3406
2012-03-30,0.347
2012-04-05,0.3725
2012-04-06,0.3505
2012-04-09,0.3423
2012-04-10,0.3355
2012-04-11,0.3294
2012-04-12,0.3146
2012-04-13,0.3253
2012-04-16,0.3012
2012-04-17,0.3049
2012-04-18,0.3108
2012-04-19,0.3367
2012-04-20,0.3433
2012-04-23,0.3205
2012-04-24,0.3452
2012-04-25,0.3176
2012-04-26,0.3371
2012-04-27,0.3582
2012-05-02,0.3809
2012-05-03,0.3786
2012-05-04,0.3591
2012-05-07,0.3577
2012-05-08,0.3441
2012-05-09,0.3561
2012-05-10,0.3742
2012-05-11,0.3661
2012-05-14,0.361
2012-05-15,0.3637
2012-05-16,0.3855
2012-05-17,0.3895
2012-05-18,0.3597
2012-05-21,0.3958
2012-05-22,0.3894
2012-05-23,0.4017
2012-05-24,0.3898
2012-05-25,0.3774
2012-05-28,0.3867
2012-05-29,0.3812
2012-05-30,0.3448
2012-05-31,0.3395
2012-06-01,0.3832
2012-06-04,0.3667
2012-06-05,0.3817
2012-06-06,0.396
2012-06-07,0.3818
2012-06-08,0.3982
2012-06-11,0.366
2012-06-12,0.3598
2012-06-13,0.3625
2012-06-14,0.3498
2012-06-15,0.3735
2012-06-18,0.3366
2012-06-19,0.335
2012-06-20,0.3313
2012-06-21,0.3348
2012-06-25,0.3529
2012-06-26,0.3438
2012-06-27,0.3361
2012-06-28,0.3486
2012-06-29,0.3548
2012-07-02,0.3592
2012-07-03,0.3402
2012-07-04,0.3434
2012-07-05,0.3409
2012-07-06,0.3949
2012-07-09,0.386
2012-07-10,0.3747
2012-07-11,0.3981
2012-07-12,0.3983
2012-07-13,0.3833
2012-07-16,0.363
2012-07-17,0.4047
2012-07-18,0.4036
2012-07-19,0.355
2012-07-20,0.3711
2012-07-23,0.3758
2012-07-24,0.3772
2012-07-25,0.3528
2012-07-26,0.3808
2012-07-27,0.3887
2012-07-30,0.3672
2012-07-31,0.3807
2012-08-01,0.3906
2012-08-02,0.3887
2012-08-03,0.3642
2012-08-06,0.345
2012-08-07,0.3434
2012-08-08,0.3704
2012-08-09,0.3691
2012-08-10,0.371
2012-08-13,0.3812
2012-08-14,0.3716
2012-08-15,0.366
2012-08-16,0.3809
2012-08-17,0.3865
2012-08-20,0.3767
2012-08-21,0.3313
2012-08-22,0.3412
2012-08-23,0.3449
2012-08-24,0.3358
2012-08-27,0.3542
2012-08-28,0.3555
2012-08-29,0.3445
2012-08-30,0.3455
2012-08-31,0.3477
2012-09-03,0.3643
2012-09-04,0.3607
2012-09-05,0.3591
2012-09-06,0.3366
2012-09-07,0.3241
2012-09-10,0.3298
2012-09-11,0.3196
2012-09-12,0.3115
2012-09-13,0.3062
2012-09-14,0.3661
2012-09-17,0.3546
2012-09-18,0.3583
2012-09-19,0.373
2012-09-20,0.3605
2012-09-21,0.3862
2012-09-24,0.3932
2012-09-25,0.3922
2012-09-26,0.3571
2012-09-27,0.409
2012-09-28,0.4272
2012-10-08,0.4013
2012-10-09,0.3625
2012-10-10,0.3331
2012-10-11,0.3488
2012-10-12,0.3516
2012-10-15,0.3423
2012-10-16,0.3605
