date,code,open,high,low,close,volume,amount
2005-02-23,510050,0.881,0.882,0.866,0.876,1269742542,1111793167.0
2005-02-24,510050,0.876,0.876,0.868,0.876,451614223,394141216.0
2005-02-25,510050,0.877,0.887,0.875,0.88,506460695,446597972.0
2005-02-28,510050,0.878,0.879,0.87,0.872,187965193,164467462.0
2005-03-01,510050,0.87,0.873,0.865,0.867,208094456,180573596.0
2005-03-02,510050,0.867,0.874,0.857,0.859,249274643,215572195.0
2005-03-03,510050,0.858,0.861,0.854,0.859,100153220,85830280.0
2005-03-04,510050,0.859,0.865,0.857,0.86,129800189,111715108.0
2005-03-07,510050,0.86,0.865,0.86,0.862,116789645,100713450.0
2005-03-08,510050,0.864,0.875,0.863,0.874,298505387,259486071.0
2005-03-09,510050,0.874,0.878,0.869,0.873,200006304,174863933.0
2005-03-10,510050,0.872,0.872,0.852,0.853,333859748,287003280.0
2005-03-11,510050,0.853,0.856,0.85,0.855,132344547,112888757.0
2005-03-14,510050,0.855,0.864,0.845,0.857,233509499,199760619.0
2005-03-15,510050,0.856,0.856,0.842,0.843,282961631,239546928.0
2005-03-16,510050,0.841,0.843,0.832,0.834,219444991,183701630.0
2005-03-17,510050,0.834,0.837,0.827,0.828,130062534,108082309.0
2005-03-18,510050,0.828,0.832,0.821,0.824,227792257,188092685.0
2005-03-21,510050,0.824,0.826,0.821,0.824,103273002,85036479.0
2005-03-22,510050,0.824,0.825,0.807,0.808,162294082,131858193.0
2005-03-23,510050,0.807,0.811,0.8,0.804,145295510,117013259.0
2005-03-24,510050,0.802,0.807,0.797,0.806,118388057,94998083.0
2005-03-25,510050,0.806,0.809,0.802,0.805,108223365,87190626.0
2005-03-28,510050,0.803,0.805,0.797,0.802,71266320,57019414.0
2005-03-29,510050,0.802,0.811,0.802,0.805,144018030,116246835.0
2005-03-30,510050,0.804,0.804,0.791,0.793,192659445,153413202.0
2005-03-31,510050,0.792,0.795,0.786,0.794,128738277,101747478.0
2005-04-01,510050,0.793,0.834,0.79,0.829,502390601,409666114.0
2005-04-04,510050,0.814,0.818,0.804,0.81,232991558,188905456.0
