date,code,shares,source
2023-01-03,510050,22191066800.0,sse
2023-01-03,510300,19706887700.0,sse
2023-01-03,510310,8596307400.0,sse
2023-01-03,510330,6350649800.0,sse
2023-01-03,510500,10228568600.0,sse
2023-01-03,512100,4056217600.0,sse
2023-01-03,588000,50573668200.0,sse
2023-01-03,588080,17272628100.0,sse
2023-01-04,510050,21905766800.0,sse
2023-01-04,510300,19169587700.0,sse
2023-01-04,510310,8416307400.0,sse
2023-01-04,510330,6335349800.0,sse
2023-01-04,510500,10145768600.0,sse
2023-01-04,512100,3926217600.0,sse
2023-01-04,588000,51361168200.0,sse
2023-01-04,588080,17410628100.0,sse
2023-01-05,510050,21566466800.0,sse
2023-01-05,510300,19076887700.0,sse
2023-01-05,510310,8430307400.0,sse
2023-01-05,510330,6323649800.0,sse
2023-01-05,510500,10181768600.0,sse
2023-01-05,512100,3960217600.0,sse
2023-01-05,588000,51167668200.0,sse
2023-01-05,588080,17341628100.0,sse
2023-01-06,510050,21457566800.0,sse
2023-01-06,510300,19135387700.0,sse
2023-01-06,510310,8410307400.0,sse
2023-01-06,510330,6357849800.0,sse
2023-01-06,510500,10180168600.0,sse
2023-01-06,512100,3913217600.0,sse
2023-01-06,588000,50101168200.0,sse
2023-01-06,588080,17848628100.0,sse
2023-01-09,510050,21165066800.0,sse
2023-01-09,510300,18861787700.0,sse
2023-01-09,510310,8278307400.0,sse
2023-01-09,510330,6404649800.0,sse
2023-01-09,510500,10097768600.0,sse
2023-01-09,512100,3838217600.0,sse
2023-01-09,588000,50155168200.0,sse
2023-01-09,588080,17800628100.0,sse
2023-01-10,510050,21040866800.0,sse
2023-01-10,510300,18472087700.0,sse
2023-01-10,510310,8286307400.0,sse
2023-01-10,510330,6422649800.0,sse
2023-01-10,510500,10092168600.0,sse
2023-01-10,512100,3805217600.0,sse
2023-01-10,588000,50087668200.0,sse
2023-01-10,588080,17794628100.0,sse
2023-01-11,510050,20757366800.0,sse
2023-01-11,510300,18384787700.0,sse
2023-01-11,510310,8392307400.0,sse
2023-01-11,510330,6456849800.0,sse
2023-01-11,510500,10087768600.0,sse
2023-01-11,512100,3781217600.0,sse
2023-01-11,588000,50123668200.0,sse
2023-01-11,588080,17791628100.0,sse
2023-01-12,510050,20634966800.0,sse
2023-01-12,510300,18387487700.0,sse
2023-01-12,510310,8582307400.0,sse
2023-01-12,510330,6581049800.0,sse
2023-01-12,510500,10108968600.0,sse
2023-01-12,512100,3828217600.0,sse
2023-01-12,588000,50011168200.0,sse
2023-01-12,588080,17767628100.0,sse
2023-01-13,510050,20735766800.0,sse
2023-01-13,510300,18643987700.0,sse
2023-01-13,510310,8564307400.0,sse
2023-01-13,510330,6642249800.0,sse
2023-01-13,510500,10121368600.0,sse
2023-01-13,512100,3832217600.0,sse
2023-01-13,588000,50551168200.0,sse
2023-01-13,588080,17776628100.0,sse
2023-01-16,510050,21697866800.0,sse
2023-01-16,510300,19680787700.0,sse
2023-01-16,510310,8646307400.0,sse
2023-01-16,510330,6711549800.0,sse
2023-01-16,510500,10256968600.0,sse
2023-01-16,512100,4370217600.0,sse
2023-01-16,588000,51217168200.0,sse
2023-01-16,588080,17743628100.0,sse
2023-01-17,510050,21992166800.0,sse
2023-01-17,510300,19964287700.0,sse
2023-01-17,510310,8868307400.0,sse
2023-01-17,510330,6779949800.0,sse
2023-01-17,510500,10335768600.0,sse
2023-01-17,512100,4472217600.0,sse
2023-01-17,588000,51631168200.0,sse
2023-01-17,588080,17713628100.0,sse
2023-01-18,510050,21948966800.0,sse
2023-01-18,510300,19971487700.0,sse
2023-01-18,510310,8838307400.0,sse
2023-01-18,510330,6774549800.0,sse
2023-01-18,510500,10437768600.0,sse
2023-01-18,512100,4533217600.0,sse
2023-01-18,588000,51568168200.0,sse
2023-01-18,588080,17779628100.0,sse
2023-01-19,510050,21246066800.0,sse
2023-01-19,510300,20020987700.0,sse
2023-01-19,510310,8804307400.0,sse
2023-01-19,510330,6756549800.0,sse
2023-01-19,510500,10555768600.000002,sse
2023-01-19,512100,4750217600.0,sse
2023-01-19,588000,51599668200.0,sse
2023-01-19,588080,17851628100.0,sse
2023-01-20,510050,21123666800.0,sse
2023-01-20,510300,20110987700.0,sse
2023-01-20,510310,8780307400.0,sse
2023-01-20,510330,6741249800.0,sse
2023-01-20,510500,10686568600.000002,sse
2023-01-20,512100,5411217600.0,sse
2023-01-20,588000,51761668200.0,sse
2023-01-20,588080,18169628100.0,sse
2023-01-30,510050,20996766800.0,sse
2023-01-30,510300,20251387700.0,sse
2023-01-30,510310,8776307400.0,sse
2023-01-30,510330,6746649800.0,sse
2023-01-30,510500,10781768600.000002,sse
2023-01-30,512100,5734217600.0,sse
2023-01-30,588000,51698668200.0,sse
2023-01-30,588080,18274628100.0,sse
2023-01-31,510050,21610566800.0,sse
2023-01-31,510300,20893987700.0,sse
2023-01-31,510310,8780307400.0,sse
2023-01-31,510330,6781749800.0,sse
2023-01-31,510500,10883368600.000002,sse
2023-01-31,512100,5889217600.0,sse
2023-01-31,588000,51653668200.0,sse
2023-01-31,588080,18289628100.0,sse
2023-02-01,510050,21175866800.0,sse
2023-02-01,510300,20719387700.0,sse
2023-02-01,510310,8728307400.0,sse
2023-02-01,510330,6774549800.0,sse
2023-02-01,510500,10638568600.000002,sse
2023-02-01,512100,5782217600.0,sse
2023-02-01,588000,52144168200.0,sse
2023-02-01,588080,18442628100.0,sse
2023-02-02,510050,20939166800.0,sse
2023-02-02,510300,20082187700.0,sse
2023-02-02,510310,8670307400.0,sse
2023-02-02,510330,6722349800.0,sse
2023-02-02,510500,10465368600.0,sse
2023-02-02,512100,5816217600.0,sse
2023-02-02,588000,52283668200.0,sse
2023-02-02,588080,18457628100.0,sse
2023-02-03,510050,20831166800.0,sse
2023-02-03,510300,19669987700.0,sse
2023-02-03,510310,8624307400.0,sse
2023-02-03,510330,6697149800.0,sse
2023-02-03,510500,10381768600.0,sse
2023-02-03,512100,5792217600.0,sse
2023-02-03,588000,52414168200.0,sse
2023-02-03,588080,18442628100.0,sse
2023-02-06,510050,20877966800.0,sse
2023-02-06,510300,19468387700.0,sse
2023-02-06,510310,8608307400.0,sse
2023-02-06,510330,6537849800.0,sse
2023-02-06,510500,10273368600.0,sse
2023-02-06,512100,5656217600.0,sse
2023-02-06,588000,52544668200.0,sse
2023-02-06,588080,18574628100.0,sse
2023-02-07,510050,20695266800.0,sse
2023-02-07,510300,19211887700.0,sse
2023-02-07,510310,8248307400.0,sse
2023-02-07,510330,6432549800.0,sse
2023-02-07,510500,9842968600.0,sse
2023-02-07,512100,5128217600.0,sse
2023-02-07,588000,52792168200.0,sse
2023-02-07,588080,18658628100.0,sse
2023-02-08,510050,20742066800.0,sse
2023-02-08,510300,19066987700.0,sse
2023-02-08,510310,8234307400.0,sse
2023-02-08,510330,6357849800.0,sse
2023-02-08,510500,9498968600.0,sse
2023-02-08,512100,4888217600.0,sse
2023-02-08,588000,52783168200.0,sse
2023-02-08,588080,18685628100.0,sse
2023-02-09,510050,20873466800.0,sse
2023-02-09,510300,19120987700.0,sse
2023-02-09,510310,8220307400.0,sse
2023-02-09,510330,6367749800.0,sse
2023-02-09,510500,9614168600.0,sse
2023-02-09,512100,5462217600.0,sse
2023-02-09,588000,52459168200.0,sse
2023-02-09,588080,18508628100.0,sse
2023-02-10,510050,20888766800.0,sse
2023-02-10,510300,18946387700.0,sse
2023-02-10,510310,8160307400.0,sse
2023-02-10,510330,6333549800.0,sse
2023-02-10,510500,9297768600.0,sse
2023-02-10,512100,5333217600.0,sse
2023-02-10,588000,52949668200.0,sse
2023-02-10,588080,18571628100.0,sse
2023-02-13,510050,20554866800.0,sse
2023-02-13,510300,18459487700.0,sse
2023-02-13,510310,8146307400.0,sse
2023-02-13,510330,6259749800.0,sse
2023-02-13,510500,8951768600.0,sse
2023-02-13,512100,5213217600.0,sse
2023-02-13,588000,53143168200.0,sse
2023-02-13,588080,18658628100.0,sse
2023-02-14,510050,20555766800.0,sse
2023-02-14,510300,18417187700.0,sse
2023-02-14,510310,8146307400.0,sse
2023-02-14,510330,6229149800.0,sse
2023-02-14,510500,8805768600.0,sse
2023-02-14,512100,5088217600.0,sse
2023-02-14,588000,53237668200.0,sse
2023-02-14,588080,18688628100.0,sse
2023-02-15,510050,20648466800.0,sse
2023-02-15,510300,18063487700.0,sse
2023-02-15,510310,8164307400.0,sse
2023-02-15,510330,6224649800.0,sse
2023-02-15,510500,8666568600.0,sse
2023-02-15,512100,4985217600.0,sse
2023-02-15,588000,53107168200.0,sse
2023-02-15,588080,18688628100.0,sse
2023-02-16,510050,20746566800.0,sse
2023-02-16,510300,18079687700.0,sse
2023-02-16,510310,8180307400.0,sse
2023-02-16,510330,6238149800.0,sse
2023-02-16,510500,8678168600.0,sse
2023-02-16,512100,4835217600.0,sse
2023-02-16,588000,53323168200.0,sse
2023-02-16,588080,18796628100.0,sse
2023-02-17,510050,20517966800.0,sse
2023-02-17,510300,18101287700.0,sse
2023-02-17,510310,8202307400.0,sse
2023-02-17,510330,6197649800.0,sse
2023-02-17,510500,8696568600.0,sse
2023-02-17,512100,4654217600.0,sse
2023-02-17,588000,53768668200.0,sse
2023-02-17,588080,18880628100.0,sse
2023-02-20,510050,19978866800.0,sse
2023-02-20,510300,17804287700.0,sse
2023-02-20,510310,8178307400.0,sse
2023-02-20,510330,6211149800.0,sse
2023-02-20,510500,8348168600.0,sse
2023-02-20,512100,4226217600.0,sse
2023-02-20,588000,53660668200.0,sse
2023-02-20,588080,18916628100.0,sse
2023-02-21,510050,20783466800.0,sse
2023-02-21,510300,17929387700.0,sse
2023-02-21,510310,8184307400.0,sse
2023-02-21,510330,6246249800.0,sse
2023-02-21,510500,8286568600.0,sse
2023-02-21,512100,4063217600.0,sse
2023-02-21,588000,53800168200.0,sse
2023-02-21,588080,18955628100.0,sse
2023-02-22,510050,21066066800.0,sse
2023-02-22,510300,17891587700.0,sse
2023-02-22,510310,8182307400.0,sse
2023-02-22,510330,6218349800.0,sse
2023-02-22,510500,8162168600.0,sse
2023-02-22,512100,4036217600.0,sse
2023-02-22,588000,53827168200.0,sse
2023-02-22,588080,18871628100.0,sse
2023-02-23,510050,20860866800.0,sse
2023-02-23,510300,17726887700.0,sse
2023-02-23,510310,8160307400.0,sse
2023-02-23,510330,6195849800.0,sse
2023-02-23,510500,7937768600.0,sse
2023-02-23,512100,3903217600.0,sse
2023-02-23,588000,53813668200.0,sse
2023-02-23,588080,18826628100.0,sse
2023-02-24,510050,20787966800.0,sse
2023-02-24,510300,17317387700.0,sse
2023-02-24,510310,8208307400.0,sse
2023-02-24,510330,6164349800.0,sse
2023-02-24,510500,7842968600.0,sse
2023-02-24,512100,3827217600.0,sse
2023-02-24,588000,53795668200.0,sse
2023-02-24,588080,18877628100.0,sse
2023-02-27,510050,20854566800.0,sse
2023-02-27,510300,17140987700.0,sse
2023-02-27,510310,8248307400.0,sse
2023-02-27,510330,6160749800.0,sse
2023-02-27,510500,7718168600.0,sse
2023-02-27,512100,3563217600.0,sse
2023-02-27,588000,53984668200.0,sse
2023-02-27,588080,18949628100.0,sse
2023-02-28,510050,20992266800.0,sse
2023-02-28,510300,17242687700.0,sse
2023-02-28,510310,8272307400.0,sse
2023-02-28,510330,6161649800.0,sse
2023-02-28,510500,7742568600.0,sse
2023-02-28,512100,3668217600.0,sse
2023-02-28,588000,54191668200.0,sse
2023-02-28,588080,18982628100.0,sse
2023-03-01,510050,21466566800.0,sse
2023-03-01,510300,17897887700.0,sse
2023-03-01,510310,8326307400.0,sse
2023-03-01,510330,6203949800.0,sse
2023-03-01,510500,7753768600.0,sse
2023-03-01,512100,3668217600.0,sse
2023-03-01,588000,54079168200.0,sse
2023-03-01,588080,18988628100.0,sse
2023-03-02,510050,21562866800.0,sse
2023-03-02,510300,17897887700.0,sse
2023-03-02,510310,8370307400.0,sse
2023-03-02,510330,6205749800.0,sse
2023-03-02,510500,7692568600.0,sse
2023-03-02,512100,3619217600.0,sse
2023-03-02,588000,54272668200.0,sse
2023-03-02,588080,19015628100.0,sse
2023-03-03,510050,21488166800.0,sse
2023-03-03,510300,17924887700.0,sse
2023-03-03,510310,8370307400.0,sse
2023-03-03,510330,6212949800.0,sse
2023-03-03,510500,7530968600.0,sse
2023-03-03,512100,3431217600.0,sse
2023-03-03,588000,54128668200.0,sse
2023-03-03,588080,18934628100.0,sse
2023-03-06,510050,21269466800.0,sse
2023-03-06,510300,17310187700.0,sse
2023-03-06,510310,8346307400.0,sse
2023-03-06,510330,6161649800.0,sse
2023-03-06,510500,7350168600.0,sse
2023-03-06,512100,3301217600.0,sse
2023-03-06,588000,54187168200.0,sse
2023-03-06,588080,18988628100.0,sse
2023-03-07,510050,20886966800.0,sse
2023-03-07,510300,17049187700.0,sse
2023-03-07,510310,8334307400.0,sse
2023-03-07,510330,6150849800.0,sse
2023-03-07,510500,7268568600.0,sse
2023-03-07,512100,3409217600.0,sse
2023-03-07,588000,54529168200.0,sse
2023-03-07,588080,19090628100.0,sse
2023-03-08,510050,21071466800.0,sse
2023-03-08,510300,17095087700.0,sse
2023-03-08,510310,8364307400.0,sse
2023-03-08,510330,6150849800.0,sse
2023-03-08,510500,7355768600.0,sse
2023-03-08,512100,3446217600.0,sse
2023-03-08,588000,54403168200.0,sse
2023-03-08,588080,19192628100.0,sse
2023-03-09,510050,20512566800.0,sse
2023-03-09,510300,17014087700.0,sse
2023-03-09,510310,8358307400.0,sse
2023-03-09,510330,6132849800.0,sse
2023-03-09,510500,7230968600.0,sse
2023-03-09,512100,3325217600.0,sse
2023-03-09,588000,54200668200.0,sse
2023-03-09,588080,19105628100.0,sse
2023-03-10,510050,20877966800.0,sse
2023-03-10,510300,17017687700.0,sse
2023-03-10,510310,8374307400.0,sse
2023-03-10,510330,6125649800.0,sse
2023-03-10,510500,7238568600.0,sse
2023-03-10,512100,3496217600.0,sse
2023-03-10,588000,54277168200.0,sse
2023-03-10,588080,19129628100.0,sse
2023-03-13,510050,21078666800.0,sse
2023-03-13,510300,17060887700.0,sse
2023-03-13,510310,8384307400.0,sse
2023-03-13,510330,6127449800.0,sse
2023-03-13,510500,7205368600.0,sse
2023-03-13,512100,3521217600.0,sse
2023-03-13,588000,54470668200.0,sse
2023-03-13,588080,19129628100.0,sse
2023-03-14,510050,21305466800.0,sse
2023-03-14,510300,17142787700.0,sse
2023-03-14,510310,8382307400.0,sse
2023-03-14,510330,6127449800.0,sse
2023-03-14,510500,7188568600.0,sse
2023-03-14,512100,3447217600.0,sse
2023-03-14,588000,54430168200.0,sse
2023-03-14,588080,19147628100.0,sse
2023-03-15,510050,20965266800.0,sse
2023-03-15,510300,17085187700.0,sse
2023-03-15,510310,8382307400.0,sse
2023-03-15,510330,6115749800.0,sse
2023-03-15,510500,7136168600.0,sse
2023-03-15,512100,3420217600.0,sse
2023-03-15,588000,54578668200.0,sse
2023-03-15,588080,19174628100.0,sse
2023-03-16,510050,21303666800.0,sse
2023-03-16,510300,17167087700.0,sse
2023-03-16,510310,8374307400.0,sse
2023-03-16,510330,6112149800.0,sse
2023-03-16,510500,7244568600.0,sse
2023-03-16,512100,3467217600.0,sse
2023-03-16,588000,55195168200.0,sse
2023-03-16,588080,19303628100.0,sse
2023-03-17,510050,21236166800.0,sse
2023-03-17,510300,16929487700.0,sse
2023-03-17,510310,8344307400.0,sse
2023-03-17,510330,6116649800.0,sse
2023-03-17,510500,7474568600.0,sse
2023-03-17,512100,3527217600.0,sse
2023-03-17,588000,54394168200.0,sse
2023-03-17,588080,19264628100.0,sse
2023-03-20,510050,21213666800.0,sse
2023-03-20,510300,16876387700.0,sse
2023-03-20,510310,8344307400.0,sse
2023-03-20,510330,6080649800.0,sse
2023-03-20,510500,7505768600.0,sse
2023-03-20,512100,3625217600.0,sse
2023-03-20,588000,53993668200.0,sse
2023-03-20,588080,19210628100.0,sse
2023-03-21,510050,20682666800.0,sse
2023-03-21,510300,16783687700.0,sse
2023-03-21,510310,8376307400.0,sse
2023-03-21,510330,6080649800.0,sse
2023-03-21,510500,7596568600.0,sse
2023-03-21,512100,3720217600.0,sse
2023-03-21,588000,54115168200.0,sse
2023-03-21,588080,19201628100.0,sse
2023-03-22,510050,20304666800.0,sse
2023-03-22,510300,16558687700.0,sse
2023-03-22,510310,8376307400.0,sse
2023-03-22,510330,6065349800.0,sse
2023-03-22,510500,7578168600.0,sse
2023-03-22,512100,3701217600.0,sse
2023-03-22,588000,54043168200.0,sse
2023-03-22,588080,19180628100.0,sse
2023-03-23,510050,20311866800.0,sse
2023-03-23,510300,16512787700.0,sse
2023-03-23,510310,8384307400.0,sse
2023-03-23,510330,6062649800.0,sse
2023-03-23,510500,7514968600.0,sse
2023-03-23,512100,3602217600.0,sse
2023-03-23,588000,52432168200.0,sse
2023-03-23,588080,19000628100.0,sse
2023-03-24,510050,20437866800.0,sse
2023-03-24,510300,16514587700.0,sse
2023-03-24,510310,8374307400.0,sse
2023-03-24,510330,6062649800.0,sse
2023-03-24,510500,7480968600.0,sse
2023-03-24,512100,3525217600.0,sse
2023-03-24,588000,52252168200.0,sse
2023-03-24,588080,18829628100.0,sse
2023-03-27,510050,20396466800.0,sse
2023-03-27,510300,16492987700.0,sse
2023-03-27,510310,8384307400.0,sse
2023-03-27,510330,6059049800.0,sse
2023-03-27,510500,7353368600.0,sse
2023-03-27,512100,3462217600.0,sse
2023-03-27,588000,51874168200.0,sse
2023-03-27,588080,19114628100.0,sse
2023-03-28,510050,20211966800.0,sse
2023-03-28,510300,16362487700.0,sse
2023-03-28,510310,8366307400.0,sse
2023-03-28,510330,6050949800.0,sse
2023-03-28,510500,7282568600.0,sse
2023-03-28,512100,3400217600.0,sse
2023-03-28,588000,51775168200.0,sse
2023-03-28,588080,19045628100.0,sse
2023-03-29,510050,20199366800.0,sse
2023-03-29,510300,16307587700.0,sse
2023-03-29,510310,8350307400.0,sse
2023-03-29,510330,6051849800.0,sse
2023-03-29,510500,7360168600.0,sse
2023-03-29,512100,3477217600.0,sse
2023-03-29,588000,50947168200.0,sse
2023-03-29,588080,18814628100.0,sse
2023-03-30,510050,20077866800.0,sse
2023-03-30,510300,16374187700.0,sse
2023-03-30,510310,8338307400.0,sse
2023-03-30,510330,6053649800.0,sse
2023-03-30,510500,7650568600.0,sse
2023-03-30,512100,3583217600.0,sse
2023-03-30,588000,50407168200.0,sse
2023-03-30,588080,18763628100.0,sse
2023-03-31,510050,20239866800.0,sse
2023-03-31,510300,16576687700.0,sse
2023-03-31,510310,8332307400.0,sse
2023-03-31,510330,6094149800.0,sse
2023-03-31,510500,7849768600.0,sse
2023-03-31,512100,3606217600.0,sse
2023-03-31,588000,49867168200.0,sse
2023-03-31,588080,18685628100.0,sse
2023-04-03,510050,20338866800.0,sse
2023-04-03,510300,16520887700.0,sse
2023-04-03,510310,8308307400.0,sse
2023-04-03,510330,6089649800.0,sse
