date,open,high,low,close,volume,amount
2010-01-04,4413.75,4436.06,4393.5,4406.77,23533327,26850010562.0
2010-01-05,4411.28,4462.23,4378.1,4462.23,26467952,30379011115.0
2010-01-06,4459.85,4499.51,4445.5,4452.87,28617067,31692042146.0
2010-01-07,4440.11,4452.18,4345.05,4361.16,28255441,30615696093.0
2010-01-08,4335.78,4417.79,4323.46,4417.77,22353872,24352036479.0
2010-01-11,4445.6,4450.02,4398.06,4449.94,26684597,29877476198.0
2010-01-12,4440.99,4541.6,4435.91,4541.6,30220964,34346652147.0
2010-01-13,4447.51,4545.42,4430.01,4485.32,29812304,33651449313.0
2010-01-14,4494.06,4609.3,4494.06,4609.3,32785953,37583039098.0
2010-01-15,4617.9,4658.09,4617.86,4658.09,31794609,37391289562.0
2010-01-18,4653.55,4734.05,4644.25,4734.05,30990289,37259981053.0
2010-01-19,4736.71,4758.18,4695.72,4740.45,31494201,37755908834.0
2010-01-20,4742.51,4744.69,4572.72,4586.75,38658477,44841808738.0
2010-01-21,4586.21,4632.24,4545.29,4606.43,26609595,29819639963.0
2010-01-22,4553.78,4560.12,4390.85,4471.28,27096635,30039257815.0
2010-01-25,4439.89,4478.3,4404.22,4407.04,17491933,19626740904.0
2010-01-26,4406.44,4429.23,4186.37,4226.94,19967021,21551563663.0
2010-01-27,4219.65,4270.9,4171.26,4194.63,15747504,17151082548.0
2010-01-28,4188.83,4252.35,4171.81,4248.04,14630828,16070093102.0
2010-01-29,4227.87,4328.53,4212.45,4290.32,18836346,21186161315.0
2010-02-01,4284.35,4287.38,4182.13,4239.99,18658280,20554891741.0
2010-02-02,4248.43,4304.08,4222.17,4225.47,18778930,20379240155.0
2010-02-03,4227.26,4304.84,4097.35,4304.84,22930072,24240296969.0
2010-02-04,4283.9,4394.57,4262.71,4364.23,25757781,27763147525.0
2010-02-05,4272.24,4341.2,4243.41,4281.78,28437403,30497313186.0
2010-02-08,4272.28,4300.57,4253.32,4278.58,18382477,19556730032.0
2010-02-09,4264.27,4299.84,4245.52,4277.33,15470376,16222190799.0
2010-02-10,4294.83,4330.42,4282.9,4330.42,13699352,14929988976.0
2010-02-11,4329.63,4337.32,4304.24,4307.13,13416423,14257265676.0
2010-02-12,4311.89,4368.53,4311.89,4366.28,13759792,15378944678.0
2010-02-22,4362.93,4422.33,4355.04,4392.69,18755465,20230675985.0
2010-02-23,4389.42,4464.23,4353.05,4464.23,24387302,26174091175.0
2010-02-24,4443.03,4559.66,4425.66,4559.66,29169644,31881271341.0
2010-02-25,4566.04,4645.83,4563.95,4645.06,34747183,38616175717.0
2010-02-26,4632.31,4676.42,4616.13,4653.34,32808135,36932233526.0
2010-03-01,4656.98,4727.43,4656.98,4721.89,35248880,39496716087.0
2010-03-02,4721.26,4736.49,4684.11,4724.64,34657843,39066672168.0
2010-03-03,4716.52,4790.08,4710.67,4788.5,34517448,38987659237.0
2010-03-04,4788.59,4812.36,4599.47,4617.85,36855640,42118279800.0
2010-03-05,4613.45,4650.44,4563.11,4617.36,23542352,26333242038.0
2010-03-08,4625.93,4685.49,4624.21,4676.44,21011671,23581432674.0
2010-03-09,4671.06,4697.4,4625.14,4682.25,24149333,26454749316.0
2010-03-10,4675.99,4696.87,4593.55,4630.01,23171809,25991103838.0
2010-03-11,4624.9,4643.78,4560.09,4605.25,20235753,22893215759.0
2010-03-12,4603.95,4613.17,4526.87,4532.08,18599438,21060356184.0
2010-03-15,4523.61,4530.22,4468.32,4498.09,15324122,17332256947.0
2010-03-16,4494.44,4555.31,4487.26,4555.31,16042872,18166444731.0
2010-03-17,4566.41,4674.64,4562.89,4674.64,23557346,27081316833.0
2010-03-18,4680.97,4702.18,4661.87,4686.25,23401174,27391968049.0
2010-03-19,4685.39,4726.74,4675.29,4723.85,24598942,28209586403.0
2010-03-22,4727.62,4767.16,4717.6,4766.94,26611457,29907294596.0
2010-03-23,4764.46,4772.88,4722.23,4739.37,25726721,29356832005.0
2010-03-24,4740.85,4764.17,4734.84,4750.99,26037783,29588209886.0
2010-03-25,4738.48,4738.48,4673.92,4678.81,25576855,28816775831.0
2010-03-26,4671.04,4745.96,4667.11,4742.47,22040026,25596563397.0
2010-03-29,4754.34,4776.45,4730.68,4770.54,23794925,28475290720.0
2010-03-30,4768.34,4804.22,4757.41,4800.45,23150003,27563394273.0
2010-03-31,4796.98,4822.08,4785.14,4822.08,26453051,30938596281.0
2010-04-01,4825.02,4904.3,4825.02,4904.3,33234781,38970977839.0
2010-04-02,4905.15,4924.71,4890.6,4922.82,30192645,35293547149.0
2010-04-06,4934.54,4946.53,4904.43,4942.33,28887721,33669973036.0
2010-04-07,4934.03,4951.73,4910.69,4951.73,25147351,30881360644.0
2010-04-08,4943.46,4973.17,4934.42,4956.37,28810981,35166066510.0
2010-04-09,4956.02,5031.25,4956.02,5031.25,28687494,35118135537.0
2010-04-12,5042.4,5088.29,5042.32,5088.29,37388723,45953172179.0
2010-04-13,5085.98,5096.26,4863.93,4989.39,37330979,45764966392.0
2010-04-14,4979.61,5074.68,4967.58,5074.68,29512031,35736386045.0
2010-04-15,5072.44,5083.15,4982.38,5024.77,29919563,36013654939.0
2010-04-16,5003.3,5060.51,4968.61,5019.35,22644312,27546636988.0
2010-04-19,4970.82,5001.17,4805.14,4806.11,28991826,34263338000.0
2010-04-20,4797.43,4875.36,4721.83,4875.09,25616413,30085437859.0
2010-04-21,4875.59,5029.83,4875.59,5029.03,30961711,38311002550.0
2010-04-22,5014.71,5101.7,4983.89,5060.75,31925137,39621607203.0
2010-04-23,5047.73,5092.53,4985.3,5007.6,28868502,35897349429.0
2010-04-26,5010.75,5027.58,4975.97,4999.06,23916181,29822466317.0
2010-04-27,4980.26,4980.26,4775.24,4869.61,25950078,30612910770.0
2010-04-28,4797.18,4888.72,4776.87,4834.79,21062891,25659191911.0
2010-04-29,4840.27,4872.15,4686.54,4686.94,24663377,28935819489.0
2010-04-30,4660.72,4666.54,4446.61,4527.76,21206810,23695623421.0
2010-05-04,4440.05,4561.57,4406.26,4520.36,15726977,17576440013.0
2010-05-05,4469.48,4663.09,4469.48,4662.84,19549629,22238561056.0
2010-05-06,4647.98,4685.91,4531.56,4533.9,20821356,23518259019.0
2010-05-07,4425.17,4544.4,4395.61,4453.17,18961783,21520440451.0
2010-05-10,4445.12,4492.48,4279.21,4367.27,18760415,21254467427.0
2010-05-11,4445.28,4465.54,4225.82,4239.79,19276373,21274678437.0
2010-05-12,4203.75,4251.88,4073.1,4134.52,18362245,18626777800.0
2010-05-13,4131.42,4236.4,4044.52,4236.4,18333425,18238855992.0
2010-05-14,4204.46,4292.14,4178.97,4257.81,17333995,18452086025.0
2010-05-17,4202.32,4202.32,3981.2,3981.29,18239201,18108878061.0
2010-05-18,3954.47,4022.24,3852.67,4007.42,18538967,17987409795.0
2010-05-19,3980.12,4065.78,3939.08,4007.16,16088787,16059685353.0
2010-05-20,3972.05,4047.39,3908.76,3918.58,15450011,15070740156.0
2010-05-21,3802.06,3993.74,3779.69,3993.74,18864999,18348593198.0
2010-05-24,4022.89,4191.25,4022.89,4179.35,24403597,24939715531.0
2010-05-25,4154.3,4201.22,4118.44,4169.41,22546803,22664558639.0
2010-05-26,4153.68,4202.21,4139.92,4182.71,17051520,17581445703.0
2010-05-27,4171.49,4272.79,4126.04,4264.16,21016878,21697859118.0
2010-05-28,4297.02,4309.41,4248.63,4281.09,21107962,22351746920.0
2010-05-31,4262.43,4306.73,4149.96,4149.96,20266252,21304663564.0
2010-06-01,4108.79,4134.7,3967.33,4061.45,18219926,18455984981.0
2010-06-02,4043.22,4129.53,4006.13,4129.53,15105583,15348779193.0
2010-06-03,4145.08,4195.22,4098.05,4098.9,17740038,18810540710.0
2010-06-04,4068.77,4138.02,4057.52,4133.33,14137760,14977694641.0
2010-06-07,4044.27,4128.91,4026.96,4119.62,15374416,16544734670.0
