date,open,high,low,close,volume,amount
2010-01-04,3289.75,3295.28,3243.32,3243.76,122446260,136464146432.0
2010-01-05,3254.47,3290.51,3221.46,3282.18,142274964,165339381760.0
2010-01-06,3277.52,3295.87,3253.04,3254.22,135131302,160284426240.0
2010-01-07,3253.99,3268.82,3176.71,3192.78,145228704,160533823488.0
2010-01-08,3177.26,3198.92,3149.02,3196.0,114602542,124813623296.0
2010-01-11,3301.61,3306.75,3197.33,3212.75,161502183,182514876416.0
2010-01-12,3205.71,3275.2,3180.08,3273.97,159128745,177844224000.0
2010-01-13,3204.98,3232.82,3165.49,3172.66,185213143,202360602624.0
2010-01-14,3183.38,3219.02,3165.6,3215.55,151986663,171208540160.0
2010-01-15,3217.19,3241.81,3197.22,3224.15,131414090,153643335680.0
2010-01-18,3213.64,3238.24,3202.21,3237.1,145703541,171726454784.0
2010-01-19,3242.22,3268.81,3236.84,3246.87,144950163,165774835712.0
2010-01-20,3252.04,3255.13,3148.33,3151.85,172555631,195394207744.0
2010-01-21,3154.19,3176.15,3126.9,3158.86,132639666,145694261248.0
2010-01-22,3118.72,3147.83,3062.63,3128.59,156427044,167218413568.0
2010-01-25,3103.32,3137.0,3092.93,3094.41,93994068,98070519808.0
2010-01-26,3094.85,3107.2,3001.96,3019.39,109494648,112348086272.0
2010-01-27,3020.54,3028.65,2972.63,2986.61,93150252,93409853440.0
2010-01-28,2985.21,3006.04,2963.89,2994.14,85167126,87828856832.0
2010-01-29,2979.74,3024.85,2968.45,2989.29,91271121,97625178112.0
2010-02-01,2981.37,2981.37,2912.89,2941.36,100564350,105912139776.0
2010-02-02,2955.75,2990.75,2930.56,2934.71,93734933,99637895168.0
2010-02-03,2945.03,3005.13,2890.02,3003.83,119005326,122261766144.0
2010-02-04,2983.05,3015.13,2968.68,2995.31,111441894,116737007616.0
2010-02-05,2936.2,2959.23,2918.91,2939.4,107746152,112754032640.0
2010-02-08,2936.45,2954.27,2922.19,2935.17,68452323,74134929408.0
2010-02-09,2932.09,2957.47,2929.21,2948.84,69093618,69304770560.0
