date,open,high,low,close,volume,amount
2010-01-04,13766.1,13782.81,13533.54,13533.54,57570391.0,82353079000.0
2010-01-05,13539.83,13597.36,13324.56,13517.38,71781488.0,102549231000.0
2010-01-06,13509.39,13677.4,13456.29,13505.18,70311127.0,103106625000.0
2010-01-07,13514.64,13571.35,13148.25,13235.48,72938980.0,104326846000.0
2010-01-08,13180.9,13270.63,13040.34,13267.44,58439551.0,83251647000.0
2010-01-11,13559.28,13606.23,13089.88,13161.09,70225651.0,100368646000.0
2010-01-12,13187.39,13381.25,12993.23,13381.25,77314203.0,114609583000.0
2010-01-13,13031.55,13227.96,12936.32,13016.56,84422347.0,125645834000.0
2010-01-14,13037.8,13222.22,12965.79,13204.19,82196572.0,119077282000.0
2010-01-15,13247.65,13320.4,13118.25,13264.37,73688659.0,106151605000.0
2010-01-18,13234.11,13373.11,13175.93,13361.52,75248225.0,107197463000.0
2010-01-19,13389.59,13433.06,13318.35,13350.67,75297098.0,106902262000.0
2010-01-20,13375.53,13389.93,12871.58,12916.15,90533622.0,129185084000.0
2010-01-21,12928.52,12982.88,12732.96,12917.15,59927578.0,83615648000.0
2010-01-22,12756.92,12756.92,12394.07,12595.94,68625934.0,95367611000.0
2010-01-25,12506.14,12640.73,12458.56,12470.19,45018881.0,58690380000.0
2010-01-26,12496.11,12536.47,12091.09,12162.56,52205481.0,70793206000.0
2010-01-27,12157.14,12233.12,11946.49,12046.78,42695000.0,59072720000.0
2010-01-28,12008.96,12166.47,11903.99,12120.48,42039422.0,58900826000.0
2010-01-29,12058.7,12339.06,11998.66,12137.2,50309866.0,68433145000.0
2010-02-01,12125.51,12126.26,11841.96,11989.11,52897515.0,72854239000.0
2010-02-02,12035.93,12173.91,11912.93,11912.93,46374330.0,62832904000.0
2010-02-03,11961.12,12262.57,11714.16,12262.57,60457393.0,79677354000.0
2010-02-04,12177.15,12283.52,12112.93,12169.48,63588966.0,80934146000.0
2010-02-05,11892.31,12018.39,11823.07,11917.14,65192231.0,82496813000.0
2010-02-08,11900.1,11997.66,11847.02,11947.34,41573906.0,53205652000.0
2010-02-09,11935.8,12037.32,11900.28,11970.44,37138427.0,46760557000.0
2010-02-10,12083.0,12185.38,12051.16,12185.38,33833700.0,47655428000.0
2010-02-11,12178.95,12297.41,12152.35,12224.6,32963862.0,47020898000.0
2010-02-12,12259.47,12327.93,12241.61,12304.78,31611398.0,46492411000.0
2010-02-22,12299.11,12337.77,12213.54,12213.54,37537721.0,51876225000.0
2010-02-23,12185.94,12185.94,11922.73,12069.21,45644697.0,61432218000.0
2010-02-24,11994.95,12282.09,11936.95,12282.09,59689563.0,79840562000.0
2010-02-25,12324.94,12495.99,12324.94,12494.27,71480736.0,97890337000.0
2010-02-26,12473.0,12527.02,12417.24,12436.66,64418501.0,90156262000.0
2010-03-01,12480.81,12599.27,12454.03,12588.26,68953436.0,95365172000.0
2010-03-02,12595.32,12690.48,12517.28,12548.91,71436506.0,97542356000.0
2010-03-03,12544.02,12612.69,12444.2,12612.69,75186674.0,103057267000.0
2010-03-04,12647.99,12720.36,12292.28,12312.89,83625551.0,114339797000.0
2010-03-05,12312.74,12433.57,12268.56,12341.74,54891737.0,76740268000.0
2010-03-08,12376.33,12470.87,12327.72,12437.57,49968122.0,69813737000.0
2010-03-09,12440.21,12569.56,12289.96,12507.66,57236817.0,78286747000.0
2010-03-10,12496.78,12553.97,12363.41,12391.65,52009239.0,71968488000.0
2010-03-11,12399.77,12468.94,12277.19,12367.69,47041912.0,67710038000.0
2010-03-12,12364.57,12376.59,12167.34,12169.11,45629352.0,68938322000.0
2010-03-15,12154.53,12158.87,11866.99,11903.33,38061355.0,55626862000.0
2010-03-16,11931.32,11985.03,11835.62,11948.76,35413974.0,51655185000.0
2010-03-17,12007.8,12233.77,11975.58,12233.77,52613244.0,73558567000.0
2010-03-18,12257.85,12354.93,12198.08,12236.73,55724530.0,79466052000.0
2010-03-19,12265.3,12361.21,12185.45,12352.92,56199863.0,79102704000.0
2010-03-22,12358.03,12411.22,12304.5,12352.45,57500218.0,79609117000.0
2010-03-23,12362.39,12400.25,12280.02,12304.98,56108276.0,82523196000.0
2010-03-24,12315.61,12359.22,12260.48,12290.04,58947900.0,89157771000.0
2010-03-25,12266.59,12266.59,12078.26,12086.9,60628961.0,91152582000.0
2010-03-26,12081.11,12282.27,12030.43,12240.36,50653630.0,77435291000.0
2010-03-29,12301.6,12574.88,12301.6,12552.45,61088915.0,94307377000.0
2010-03-30,12574.81,12617.67,12527.58,12593.04,56299657.0,88673671000.0
2010-03-31,12603.75,12611.44,12469.45,12494.35,59050986.0,96028851000.0
2010-04-01,12512.41,12689.07,12512.41,12686.06,76986046.0,119973994000.0
2010-04-02,12717.98,12793.71,12707.04,12767.86,75312460.0,114263488000.0
2010-04-06,12824.15,12849.71,12651.11,12702.84,71810750.0,109350947000.0
2010-04-07,12696.33,12696.33,12561.41,12631.97,64786149.0,103609628000.0
2010-04-08,12603.25,12603.25,12381.38,12427.0,71421863.0,115210609000.0
2010-04-09,12452.35,12555.12,12393.52,12555.12,68395515.0,110624675000.0
2010-04-12,12605.95,12625.77,12338.86,12399.2,87420180.0,137242790000.0
2010-04-13,12387.39,12550.35,12261.27,12511.89,93877786.0,154707920000.0
2010-04-14,12514.81,12557.7,12447.91,12557.7,71659640.0,109379065000.0
2010-04-15,12561.53,12584.11,12422.32,12513.29,73512223.0,111259330000.0
2010-04-16,12503.47,12508.52,12363.79,12416.86,56200909.0,84333473000.0
