date,fin_balance,fin_buy,source
2012-09-27,704.53,34.09,eastmoney-all
2012-09-28,685.47,33.52,eastmoney-all
2012-10-08,696.69,34.59,eastmoney-all
2012-10-09,699.63,41.87,eastmoney-all
2012-10-10,708.57,36.16,eastmoney-all
2012-10-11,715.18,33.32,eastmoney-all
2012-10-12,716.87,29.61,eastmoney-all
2012-10-15,719.66,27.59,eastmoney-all
2012-10-16,720.75,28.81,eastmoney-all
2012-10-17,726.03,29.53,eastmoney-all
2012-10-18,725.29,38.5,eastmoney-all
2012-10-19,722.64,30.26,eastmoney-all
2012-10-22,728.68,33.01,eastmoney-all
2012-10-23,735.19,35.19,eastmoney-all
2012-10-24,738.7,28.93,eastmoney-all
2012-10-25,743.62,32.62,eastmoney-all
2012-10-26,749.71,33.58,eastmoney-all
2012-10-29,754.63,22.77,eastmoney-all
2012-10-30,753.15,23.3,eastmoney-all
2012-10-31,752.88,24.59,eastmoney-all
2012-11-01,748.99,38.05,eastmoney-all
2012-11-02,747.84,33.04,eastmoney-all
2012-11-05,751.39,32.39,eastmoney-all
2012-11-06,755.08,34.08,eastmoney-all
2012-11-07,756.69,29.23,eastmoney-all
2012-11-08,754.93,29.69,eastmoney-all
2012-11-09,751.91,20.83,eastmoney-all
2012-11-12,752.65,25.0,eastmoney-all
2012-11-13,754.03,26.47,eastmoney-all
2012-11-14,755.16,21.58,eastmoney-all
2012-11-15,755.95,22.19,eastmoney-all
2012-11-16,756.31,23.35,eastmoney-all
2012-11-19,759.31,24.3,eastmoney-all
2012-11-20,760.04,21.41,eastmoney-all
2012-11-21,761.52,27.82,eastmoney-all
2012-11-22,761.34,19.75,eastmoney-all
2012-11-23,758.65,21.76,eastmoney-all
2012-11-26,760.24,19.46,eastmoney-all
2012-11-27,758.29,22.87,eastmoney-all
2012-11-28,755.4,20.37,eastmoney-all
2012-11-29,751.33,20.25,eastmoney-all
2012-11-30,747.59,23.92,eastmoney-all
2012-12-03,743.37,25.98,eastmoney-all
2012-12-04,741.11,25.61,eastmoney-all
2012-12-05,742.93,59.93,eastmoney-all
2012-12-06,748.19,38.29,eastmoney-all
2012-12-07,747.34,54.15,eastmoney-all
2012-12-10,749.2,51.21,eastmoney-all
2012-12-11,756.33,44.47,eastmoney-all
2012-12-12,763.21,39.2,eastmoney-all
2012-12-13,766.89,32.55,eastmoney-all
2012-12-14,768.54,82.74,eastmoney-all
2012-12-17,779.53,81.81,eastmoney-all
2012-12-18,790.96,74.83,eastmoney-all
2012-12-19,799.44,56.91,eastmoney-all
2012-12-20,810.26,64.38,eastmoney-all
2012-12-21,822.06,69.42,eastmoney-all
2012-12-24,831.42,54.48,eastmoney-all
2012-12-25,841.38,95.01,eastmoney-all
2012-12-26,850.59,74.02,eastmoney-all
2012-12-27,860.45,77.71,eastmoney-all
2012-12-28,861.44,74.29,eastmoney-all
2012-12-31,856.5,81.64,eastmoney-all
2013-01-04,879.0,103.52,eastmoney-all
2013-01-07,899.94,79.83,eastmoney-all
2013-01-08,914.05,80.55,eastmoney-all
2013-01-09,925.53,82.14,eastmoney-all
2013-01-10,937.69,80.68,eastmoney-all
2013-01-11,943.84,81.14,eastmoney-all
