date,close,dd,qvix,breadth,rsi,boll_z,turnover,margin,fear,value,composite,nt_intensity,nt_etf_flow,composite_final,multiplier_final
2023-08-23,3696.63,-12.339,19.8908,46.4789,30.209,-2.0093,0.8349,-0.1555,60.7008,88.0812,79.8671,27.9109,,79.8671,1.5
2023-08-24,3723.43,-11.7035,19.1423,46.4789,34.3991,-1.5497,0.8461,-0.2127,57.4295,87.1945,78.265,11.9246,1819343800.0,78.265,1.5
2023-08-25,3709.15,-12.0421,19.2881,45.4225,33.2535,-1.491,0.8519,-0.6609,58.3577,87.5447,78.7886,31.124,4114908800.0,78.7886,1.5
2023-08-28,3752.62,-11.0112,19.17,50.0,39.8236,-1.0039,0.9534,-0.7172,53.1244,84.1863,74.8678,30.8098,8354252600.0,74.8678,1.5
2023-08-29,3790.11,-10.1222,20.0401,52.4648,44.8642,-0.5927,1.0031,-0.6334,50.4624,83.4877,73.5801,33.1455,14739580300.0,73.5801,1.5
2023-08-30,3788.51,-9.8264,20.2,52.1127,44.6921,-0.5361,1.067,-0.7761,50.2806,82.4886,72.8262,17.5504,-453783300.0,72.8262,1.5
2023-08-31,3765.27,-10.3795,18.1591,50.3521,42.1628,-0.676,1.0778,-1.0349,50.0068,82.4115,72.6901,9.5305,-456376400.0,72.6901,1.5
2023-09-01,3791.49,-9.7554,17.71,53.5211,45.884,-0.3329,1.0743,-1.3928,47.1143,80.9311,70.7861,11.8782,-1068704200.0,70.7861,1.5
2023-09-04,3848.95,-8.3878,17.19,58.8028,53.0179,0.4098,1.0204,-1.4976,41.7923,77.6434,66.8881,11.6057,377793600.0,66.8881,1.5
2023-09-05,3820.32,-9.0692,16.92,54.9296,49.5154,0.1811,0.9681,-1.3718,44.5217,79.1056,68.7305,4.0068,-919350600.0,68.7305,1.5
2023-09-06,3812.03,-9.2665,16.74,54.9296,48.5159,0.2006,0.9202,-1.1043,44.6688,79.0461,68.7329,2.7929,600329900.0,68.7329,1.5
2023-09-07,3758.47,-10.5414,17.39,50.3521,42.5414,-0.5889,0.9063,-1.1885,50.3724,81.3074,72.0269,18.0657,-1743581000.0,72.0269,1.5
2023-09-08,3739.99,-10.9812,17.93,48.9437,40.68,-0.8831,0.8924,-1.1171,52.4991,82.0011,73.1505,7.5441,-1585042200.0,73.1505,1.5
2023-09-11,3767.54,-10.3255,17.71,51.7606,44.5736,-0.2099,0.8831,0.5977,47.3361,80.9021,70.8323,0.0,-1108843300.0,70.8323,1.5
2023-09-12,3760.6,-10.4907,17.02,49.8246,43.7938,-0.2912,0.8616,1.1887,47.2745,81.3302,71.1135,0.0,-591685600.0,71.1135,1.5
2023-09-13,3736.65,-11.0607,17.0,48.4211,41.1202,-0.7996,0.8451,1.6884,49.13,82.2476,72.3123,8.8643,-2646907900.0,72.3123,1.5
2023-09-14,3733.51,-11.1355,17.39,47.0175,40.7688,-0.7979,0.8224,1.7439,50.1008,82.0489,72.4645,4.1568,-1515865500.0,72.4645,1.5
2023-09-15,3708.78,-11.7241,16.84,45.614,38.0134,-1.3066,0.8321,2.1686,51.5521,82.7619,73.3989,8.7302,-124384500.0,73.3989,1.5
2023-09-18,3727.71,-11.2735,17.05,45.614,41.2847,-0.8159,0.8001,2.4083,49.5847,82.0015,72.2765,7.8898,4357393500.0,72.2765,1.5
2023-09-19,3720.5,-11.4451,16.77,43.1579,40.4099,-0.9306,0.7838,2.4008,50.5762,81.6971,72.3608,0.4704,1126615800.0,72.3608,1.5
2023-09-20,3705.69,-11.7976,16.69,42.807,38.6007,-1.3351,0.7559,2.5958,52.2526,82.2222,73.2313,3.1461,2690065700.0,73.2313,1.5
2023-09-21,3672.44,-12.589,17.22,41.7544,34.8304,-1.9371,0.7366,2.8115,55.8017,83.8604,75.4428,8.0706,1556228200.0,75.4428,1.5
2023-09-22,3738.93,-11.0065,16.78,49.1228,46.1562,-0.4329,0.7465,3.5182,45.5996,80.7591,70.2112,22.3722,4907781400.0,70.2112,1.5
2023-09-25,3714.6,-11.5856,16.74,44.5614,43.1978,-0.9472,0.7517,3.3275,48.85,81.5223,71.7206,0.0,-826000700.0,71.7206,1.5
2023-09-26,3692.89,-12.1023,17.29,43.1579,40.6915,-1.3031,0.7592,3.1025,51.6147,82.5702,73.2835,7.9463,2595197200.0,73.2835,1.5
2023-09-27,3700.5,-11.9212,17.23,41.0526,41.9626,-1.022,0.792,3.1774,50.6233,82.5651,72.9826,9.7426,1969148900.0,72.9826,1.5
2023-09-28,3689.52,-12.1825,16.989,41.0526,40.6102,-1.1481,0.8235,2.191,51.804,83.2525,73.818,6.9222,1803238600.0,73.818,1.5
2023-10-09,3684.73,-12.2965,16.09,42.807,40.0045,-1.1325,0.824,3.3359,49.4719,83.3895,73.2142,0.0,-468029800.0,73.2142,1.5
