profile,value_axis,fear_axis_weight,nt_mode,full_excess_irr,full_cost_vs_plain,full_avg_mult,first_half_excess_irr,first_half_cost_vs_plain,first_half_avg_mult,second_half_excess_irr,second_half_cost_vs_plain,second_half_avg_mult,robust
config,dd_only,0.3,observe,0.13,-1.88,1.299,0.27,-0.85,1.366,0.2,-0.79,1.231,0.2
config,dd_only,0.3,confirm,0.13,-1.81,1.304,0.25,-0.81,1.368,0.21,-0.81,1.239,0.21
config,dd_only,0.3,parallel,0.1,-1.77,1.154,0.17,-0.76,1.216,0.14,-0.57,1.093,0.14
config,dd_only,0.4,observe,0.12,-1.84,1.258,0.26,-0.81,1.323,0.19,-0.76,1.192,0.19
config,dd_only,0.4,confirm,0.12,-1.77,1.263,0.24,-0.76,1.326,0.2,-0.78,1.2,0.2
config,dd_only,0.4,parallel,0.09,-1.54,1.131,0.14,-0.52,1.188,0.14,-0.53,1.074,0.14
config,dd_only,0.5,observe,0.12,-1.79,1.216,0.23,-0.69,1.282,0.18,-0.74,1.151,0.18
config,dd_only,0.5,confirm,0.11,-1.71,1.222,0.21,-0.63,1.285,0.2,-0.77,1.16,0.2
config,dd_only,0.5,parallel,0.07,-1.31,1.11,0.13,-0.32,1.161,0.12,-0.48,1.059,0.12
config,dd_only,0.6,observe,0.11,-1.74,1.189,0.21,-0.59,1.254,0.19,-0.71,1.123,0.19
config,dd_only,0.6,confirm,0.11,-1.67,1.195,0.2,-0.53,1.257,0.21,-0.75,1.133,0.2
config,dd_only,0.6,parallel,0.06,-1.17,1.091,0.12,-0.32,1.136,0.09,-0.37,1.046,0.09
config,dd70_erp30,0.3,observe,0.23,-2.5,1.31,0.41,-2.13,1.356,0.41,-1.26,1.264,0.41
config,dd70_erp30,0.3,confirm,0.23,-2.43,1.315,0.4,-2.08,1.358,0.41,-1.27,1.272,0.4
config,dd70_erp30,0.3,parallel,0.17,-2.2,1.157,0.31,-1.63,1.206,0.27,-0.92,1.109,0.27
config,dd70_erp30,0.4,observe,0.21,-2.34,1.265,0.38,-1.89,1.311,0.37,-1.15,1.219,0.37
config,dd70_erp30,0.4,confirm,0.21,-2.26,1.271,0.37,-1.84,1.314,0.38,-1.18,1.228,0.37
config,dd70_erp30,0.4,parallel,0.15,-1.96,1.133,0.29,-1.34,1.179,0.23,-0.8,1.087,0.23
config,dd70_erp30,0.5,observe,0.19,-2.1,1.225,0.33,-1.5,1.272,0.35,-1.09,1.179,0.33
config,dd70_erp30,0.5,confirm,0.18,-2.02,1.231,0.31,-1.44,1.275,0.36,-1.12,1.188,0.31
config,dd70_erp30,0.5,parallel,0.12,-1.63,1.111,0.24,-1.02,1.152,0.18,-0.64,1.069,0.18
config,dd70_erp30,0.6,observe,0.16,-1.98,1.189,0.3,-1.26,1.24,0.29,-0.91,1.139,0.29
config,dd70_erp30,0.6,confirm,0.16,-1.92,1.195,0.29,-1.22,1.242,0.3,-0.95,1.148,0.29
config,dd70_erp30,0.6,parallel,0.1,-1.31,1.089,0.18,-0.75,1.124,0.15,-0.52,1.054,0.15
config,dd50_erp50,0.3,observe,0.3,-2.92,1.326,0.54,-3.13,1.356,0.51,-1.44,1.297,0.51
config,dd50_erp50,0.3,confirm,0.3,-2.86,1.331,0.53,-3.1,1.357,0.51,-1.44,1.304,0.51
config,dd50_erp50,0.3,parallel,0.22,-2.43,1.171,0.41,-2.28,1.205,0.37,-1.13,1.137,0.37
config,dd50_erp50,0.4,observe,0.26,-2.65,1.274,0.46,-2.62,1.307,0.47,-1.35,1.241,0.46
config,dd50_erp50,0.4,confirm,0.26,-2.59,1.278,0.46,-2.59,1.308,0.47,-1.35,1.248,0.46
config,dd50_erp50,0.4,parallel,0.18,-2.09,1.137,0.35,-1.77,1.173,0.28,-0.91,1.1,0.28
config,dd50_erp50,0.5,observe,0.23,-2.28,1.234,0.4,-2.14,1.265,0.41,-1.22,1.203,0.4
config,dd50_erp50,0.5,confirm,0.22,-2.22,1.239,0.39,-2.1,1.267,0.42,-1.25,1.211,0.39
config,dd50_erp50,0.5,parallel,0.16,-1.84,1.114,0.31,-1.49,1.148,0.23,-0.78,1.08,0.23
config,dd50_erp50,0.6,observe,0.19,-2.03,1.195,0.35,-1.65,1.231,0.34,-1.03,1.158,0.34
config,dd50_erp50,0.6,confirm,0.19,-1.96,1.2,0.34,-1.62,1.233,0.35,-1.07,1.167,0.34
config,dd50_erp50,0.6,parallel,0.12,-1.47,1.09,0.24,-1.09,1.121,0.17,-0.62,1.059,0.17
config,dd30_erp70,0.3,observe,0.38,-3.47,1.355,0.68,-4.2,1.374,0.61,-1.58,1.336,0.61
config,dd30_erp70,0.3,confirm,0.38,-3.43,1.358,0.68,-4.19,1.375,0.61,-1.57,1.341,0.61
config,dd30_erp70,0.3,parallel,0.27,-2.6,1.187,0.47,-2.84,1.207,0.46,-1.34,1.167,0.46
config,dd30_erp70,0.4,observe,0.32,-2.9,1.291,0.56,-3.34,1.309,0.55,-1.49,1.273,0.55
config,dd30_erp70,0.4,confirm,0.32,-2.85,1.294,0.56,-3.32,1.31,0.56,-1.5,1.279,0.56
config,dd30_erp70,0.4,parallel,0.22,-2.28,1.148,0.41,-2.28,1.173,0.37,-1.11,1.122,0.37
config,dd30_erp70,0.5,observe,0.27,-2.56,1.244,0.48,-2.75,1.267,0.46,-1.29,1.22,0.46
config,dd30_erp70,0.5,confirm,0.27,-2.51,1.248,0.48,-2.74,1.268,0.47,-1.31,1.228,0.47
config,dd30_erp70,0.5,parallel,0.18,-2.0,1.118,0.36,-1.89,1.146,0.28,-0.88,1.09,0.28
config,dd30_erp70,0.6,observe,0.22,-2.05,1.201,0.41,-2.06,1.222,0.39,-1.14,1.18,0.39
config,dd30_erp70,0.6,confirm,0.22,-1.99,1.206,0.4,-2.04,1.223,0.41,-1.18,1.188,0.4
config,dd30_erp70,0.6,parallel,0.14,-1.62,1.094,0.28,-1.41,1.121,0.21,-0.69,1.067,0.21
config,erp_only,0.3,observe,0.44,-3.59,1.4,0.77,-5.15,1.387,0.72,-1.65,1.414,0.72
config,erp_only,0.3,confirm,0.44,-3.56,1.403,0.77,-5.14,1.388,0.72,-1.64,1.417,0.72
config,erp_only,0.3,parallel,0.32,-2.89,1.22,0.55,-3.68,1.225,0.56,-1.45,1.216,0.55
config,erp_only,0.4,observe,0.4,-3.35,1.337,0.71,-4.51,1.335,0.66,-1.62,1.339,0.66
config,erp_only,0.4,confirm,0.4,-3.32,1.34,0.7,-4.5,1.336,0.66,-1.61,1.343,0.66
config,erp_only,0.4,parallel,0.28,-2.6,1.173,0.49,-3.11,1.185,0.47,-1.29,1.161,0.47
config,erp_only,0.5,observe,0.32,-2.78,1.27,0.57,-3.51,1.274,0.57,-1.47,1.266,0.57
config,erp_only,0.5,confirm,0.32,-2.73,1.274,0.57,-3.5,1.275,0.58,-1.48,1.272,0.57
config,erp_only,0.5,parallel,0.22,-2.1,1.131,0.4,-2.32,1.146,0.36,-1.06,1.116,0.36
config,erp_only,0.6,observe,0.27,-2.4,1.217,0.48,-2.78,1.23,0.45,-1.26,1.204,0.45
config,erp_only,0.6,confirm,0.27,-2.36,1.221,0.48,-2.77,1.231,0.47,-1.29,1.211,0.47
config,erp_only,0.6,parallel,0.17,-1.78,1.103,0.31,-1.77,1.123,0.26,-0.82,1.082,0.26
equal,dd_only,0.3,observe,0.13,-1.85,1.3,0.26,-0.85,1.365,0.2,-0.81,1.234,0.2
equal,dd_only,0.3,confirm,0.13,-1.78,1.305,0.25,-0.82,1.367,0.22,-0.83,1.243,0.22
equal,dd_only,0.3,parallel,0.1,-1.74,1.154,0.17,-0.76,1.213,0.15,-0.6,1.095,0.15
equal,dd_only,0.4,observe,0.12,-1.74,1.263,0.24,-0.75,1.324,0.2,-0.78,1.202,0.2
equal,dd_only,0.4,confirm,0.12,-1.67,1.269,0.23,-0.7,1.327,0.21,-0.8,1.21,0.21
equal,dd_only,0.4,parallel,0.08,-1.45,1.132,0.13,-0.47,1.186,0.14,-0.55,1.079,0.13
equal,dd_only,0.5,observe,0.12,-1.74,1.221,0.22,-0.66,1.284,0.2,-0.78,1.159,0.2
equal,dd_only,0.5,confirm,0.12,-1.66,1.227,0.21,-0.61,1.287,0.22,-0.81,1.168,0.21
equal,dd_only,0.5,parallel,0.07,-1.28,1.11,0.13,-0.34,1.158,0.13,-0.49,1.061,0.13
equal,dd_only,0.6,observe,0.11,-1.66,1.191,0.2,-0.52,1.254,0.19,-0.73,1.128,0.19
equal,dd_only,0.6,confirm,0.11,-1.59,1.197,0.19,-0.46,1.257,0.21,-0.77,1.137,0.19
equal,dd_only,0.6,parallel,0.07,-1.13,1.091,0.11,-0.32,1.133,0.11,-0.4,1.049,0.11
equal,dd70_erp30,0.3,observe,0.23,-2.48,1.311,0.41,-2.13,1.355,0.4,-1.26,1.267,0.4
equal,dd70_erp30,0.3,confirm,0.22,-2.41,1.316,0.39,-2.08,1.358,0.41,-1.27,1.274,0.39
equal,dd70_erp30,0.3,parallel,0.17,-2.16,1.159,0.31,-1.61,1.206,0.28,-0.93,1.113,0.28
equal,dd70_erp30,0.4,observe,0.21,-2.26,1.268,0.37,-1.82,1.312,0.37,-1.17,1.224,0.37
equal,dd70_erp30,0.4,confirm,0.2,-2.19,1.274,0.35,-1.77,1.314,0.38,-1.19,1.233,0.35
equal,dd70_erp30,0.4,parallel,0.15,-1.93,1.134,0.29,-1.37,1.178,0.23,-0.79,1.09,0.23
equal,dd70_erp30,0.5,observe,0.18,-2.01,1.23,0.32,-1.46,1.271,0.36,-1.12,1.188,0.32
equal,dd70_erp30,0.5,confirm,0.18,-1.93,1.236,0.31,-1.41,1.274,0.38,-1.15,1.197,0.31
equal,dd70_erp30,0.5,parallel,0.12,-1.57,1.11,0.23,-1.01,1.148,0.19,-0.67,1.071,0.19
equal,dd70_erp30,0.6,observe,0.16,-1.91,1.193,0.3,-1.23,1.24,0.29,-0.91,1.145,0.29
equal,dd70_erp30,0.6,confirm,0.16,-1.84,1.199,0.28,-1.17,1.244,0.31,-0.95,1.154,0.28
equal,dd70_erp30,0.6,parallel,0.1,-1.26,1.088,0.18,-0.75,1.119,0.16,-0.56,1.057,0.16
equal,dd50_erp50,0.3,observe,0.3,-2.87,1.328,0.53,-3.11,1.354,0.51,-1.44,1.301,0.51
equal,dd50_erp50,0.3,confirm,0.3,-2.81,1.332,0.52,-3.08,1.356,0.52,-1.44,1.308,0.52
equal,dd50_erp50,0.3,parallel,0.22,-2.39,1.171,0.4,-2.26,1.203,0.37,-1.15,1.139,0.37
equal,dd50_erp50,0.4,observe,0.26,-2.61,1.275,0.46,-2.62,1.305,0.47,-1.36,1.245,0.46
equal,dd50_erp50,0.4,confirm,0.26,-2.54,1.28,0.45,-2.59,1.307,0.48,-1.37,1.252,0.45
equal,dd50_erp50,0.4,parallel,0.19,-2.05,1.138,0.35,-1.78,1.172,0.29,-0.93,1.104,0.29
equal,dd50_erp50,0.5,observe,0.22,-2.18,1.236,0.4,-2.08,1.262,0.42,-1.22,1.209,0.4
equal,dd50_erp50,0.5,confirm,0.22,-2.12,1.241,0.39,-2.05,1.265,0.43,-1.25,1.217,0.39
equal,dd50_erp50,0.5,parallel,0.16,-1.79,1.114,0.3,-1.49,1.145,0.25,-0.8,1.082,0.25
equal,dd50_erp50,0.6,observe,0.19,-1.92,1.201,0.35,-1.59,1.233,0.36,-1.06,1.169,0.35
equal,dd50_erp50,0.6,confirm,0.19,-1.86,1.206,0.34,-1.55,1.235,0.37,-1.09,1.177,0.34
equal,dd50_erp50,0.6,parallel,0.12,-1.4,1.089,0.22,-1.05,1.117,0.18,-0.62,1.061,0.18
equal,dd30_erp70,0.3,observe,0.38,-3.43,1.355,0.68,-4.15,1.373,0.62,-1.6,1.338,0.62
equal,dd30_erp70,0.3,confirm,0.37,-3.39,1.358,0.68,-4.14,1.374,0.62,-1.58,1.342,0.62
equal,dd30_erp70,0.3,parallel,0.27,-2.57,1.188,0.46,-2.83,1.207,0.46,-1.33,1.169,0.46
equal,dd30_erp70,0.4,observe,0.32,-2.83,1.293,0.56,-3.31,1.307,0.56,-1.5,1.278,0.56
equal,dd30_erp70,0.4,confirm,0.31,-2.78,1.296,0.55,-3.3,1.308,0.56,-1.51,1.284,0.55
equal,dd30_erp70,0.4,parallel,0.22,-2.22,1.148,0.41,-2.28,1.171,0.38,-1.13,1.126,0.38
equal,dd30_erp70,0.5,observe,0.27,-2.48,1.246,0.48,-2.71,1.265,0.47,-1.32,1.227,0.47
equal,dd30_erp70,0.5,confirm,0.27,-2.43,1.25,0.48,-2.7,1.266,0.48,-1.35,1.235,0.48
equal,dd30_erp70,0.5,parallel,0.18,-1.93,1.119,0.35,-1.87,1.143,0.29,-0.9,1.094,0.29
equal,dd30_erp70,0.6,observe,0.22,-1.97,1.205,0.4,-2.02,1.222,0.41,-1.17,1.188,0.4
equal,dd30_erp70,0.6,confirm,0.22,-1.92,1.209,0.4,-2.01,1.223,0.42,-1.2,1.196,0.4
equal,dd30_erp70,0.6,parallel,0.14,-1.55,1.095,0.26,-1.36,1.119,0.22,-0.73,1.071,0.22
equal,erp_only,0.3,observe,0.44,-3.56,1.4,0.77,-5.14,1.385,0.72,-1.67,1.415,0.72
equal,erp_only,0.3,confirm,0.44,-3.53,1.402,0.77,-5.13,1.387,0.72,-1.66,1.418,0.72
equal,erp_only,0.3,parallel,0.32,-2.85,1.222,0.55,-3.69,1.224,0.56,-1.46,1.219,0.55
equal,erp_only,0.4,observe,0.4,-3.3,1.339,0.7,-4.49,1.335,0.67,-1.64,1.344,0.67
equal,erp_only,0.4,confirm,0.39,-3.27,1.342,0.7,-4.47,1.336,0.67,-1.64,1.347,0.67
equal,erp_only,0.4,parallel,0.28,-2.56,1.173,0.48,-3.11,1.182,0.47,-1.3,1.164,0.47
equal,erp_only,0.5,observe,0.33,-2.77,1.272,0.58,-3.55,1.274,0.58,-1.48,1.27,0.58
equal,erp_only,0.5,confirm,0.33,-2.73,1.276,0.57,-3.53,1.275,0.58,-1.49,1.276,0.57
equal,erp_only,0.5,parallel,0.22,-2.02,1.133,0.39,-2.31,1.144,0.37,-1.09,1.123,0.37
equal,erp_only,0.6,observe,0.26,-2.33,1.221,0.48,-2.74,1.23,0.47,-1.29,1.212,0.47
equal,erp_only,0.6,confirm,0.27,-2.28,1.225,0.48,-2.73,1.231,0.48,-1.32,1.219,0.48
equal,erp_only,0.6,parallel,0.17,-1.71,1.103,0.31,-1.75,1.12,0.28,-0.85,1.086,0.28
heavy_qvix,dd_only,0.3,observe,0.12,-1.98,1.289,0.26,-0.85,1.365,0.16,-0.71,1.214,0.16
heavy_qvix,dd_only,0.3,confirm,0.12,-1.91,1.295,0.25,-0.82,1.367,0.17,-0.75,1.222,0.17
heavy_qvix,dd_only,0.3,parallel,0.1,-1.78,1.15,0.17,-0.76,1.213,0.12,-0.51,1.086,0.12
heavy_qvix,dd_only,0.4,observe,0.11,-1.98,1.244,0.24,-0.75,1.324,0.12,-0.59,1.164,0.12
heavy_qvix,dd_only,0.4,confirm,0.11,-1.91,1.25,0.23,-0.7,1.327,0.14,-0.63,1.173,0.14
heavy_qvix,dd_only,0.4,parallel,0.08,-1.57,1.124,0.13,-0.47,1.186,0.11,-0.46,1.063,0.11
heavy_qvix,dd_only,0.5,observe,0.11,-1.95,1.205,0.22,-0.66,1.284,0.13,-0.6,1.126,0.13
heavy_qvix,dd_only,0.5,confirm,0.11,-1.88,1.211,0.21,-0.61,1.287,0.15,-0.64,1.135,0.15
heavy_qvix,dd_only,0.5,parallel,0.07,-1.36,1.104,0.13,-0.34,1.158,0.09,-0.39,1.049,0.09
heavy_qvix,dd_only,0.6,observe,0.1,-1.85,1.176,0.2,-0.52,1.254,0.11,-0.53,1.099,0.11
heavy_qvix,dd_only,0.6,confirm,0.09,-1.77,1.183,0.19,-0.46,1.257,0.13,-0.58,1.108,0.13
heavy_qvix,dd_only,0.6,parallel,0.06,-1.22,1.084,0.11,-0.32,1.133,0.06,-0.29,1.035,0.06
heavy_qvix,dd70_erp30,0.3,observe,0.23,-2.59,1.303,0.41,-2.13,1.355,0.38,-1.23,1.251,0.38
heavy_qvix,dd70_erp30,0.3,confirm,0.22,-2.52,1.309,0.39,-2.08,1.358,0.39,-1.24,1.259,0.39
heavy_qvix,dd70_erp30,0.3,parallel,0.17,-2.28,1.151,0.31,-1.61,1.206,0.24,-0.84,1.096,0.24
